Student_ID,Age,Gender,Study_Hours,Attendance,Assignments_Score,Midterm_Score,Previous_Score,Sleep_Hours,Internet_Access,Extracurricular_Activities,Final_Score
STU0123,18,Male,0.0,68.5,22.3,50.5,57.0,8.6,No,No,39.1
STU0124,23,Male,19.1,85.9,49.4,50.3,41.5,8.0,No,No,49.3
STU0125,21,Male,11.1,77.7,42.6,56.3,70.2,7.6,No,Yes,52.3
STU0126,24,Female,4.0,53.5,39.0,58.0,100.0,9.0,Yes,No,57.7
STU0127,18,Male,18.1,89.6,45.5,46.8,37.4,5.8,No,Yes,42.6
STU0128,17,Female,23.2,87.7,53.1,67.5,64.5,9.3,No,No,60.2
STU0129,20,Male,14.2,72.6,51.8,50.1,74.6,8.2,Yes,Yes,48.6
STU0130,20,Male,20.7,83.9,,73.0,66.8,6.7,No,No,52.0
STU0131,20,Male,24.7,72.9,51.0,57.5,63.3,8.5,Yes,No,47.6
STU0132,21,Female,22.9,88.4,47.5,62.0,45.5,5.6,Yes,Yes,54.6
STU0133,17,Female,24.8,79.1,58.5,57.2,68.5,5.9,Yes,No,59.3
STU0134,21,Male,19.5,70.6,49.6,58.6,53.6,6.2,Yes,No,53.0
STU0135,23,Male,15.5,64.8,30.0,45.0,32.2,6.3,Yes,No,39.8
STU0136,21,Female,5.4,74.8,25.2,62.1,82.9,5.6,Yes,Yes,47.4
STU0137,17,Male,13.5,69.8,45.2,54.7,79.4,8.6,Yes,Yes,55.1
STU0138,17,Female,9.9,83.2,45.1,58.4,65.8,6.7,Yes,Yes,48.7
STU0139,23,Female,28.0,86.5,60.0,61.7,68.4,6.9,Yes,No,71.2
STU0140,17,Male,13.9,61.7,47.9,58.9,81.1,6.3,Yes,No,53.0
STU0141,24,Male,15.7,68.4,54.9,64.9,68.4,4.6,Yes,No,51.5
STU0142,17,Female,18.3,90.0,48.6,74.9,78.6,7.4,Yes,No,73.7
STU0143,20,Male,15.3,75.5,30.9,55.8,60.5,4.5,Yes,No,40.7
STU0144,24,Male,25.2,83.3,64.0,67.8,84.7,6.3,Yes,No,61.9
STU0145,24,Female,11.3,73.7,38.1,61.4,69.8,5.2,No,Yes,42.0
STU0146,23,Female,16.2,81.8,39.6,61.2,67.9,9.6,Yes,No,53.7
STU0147,19,Female,10.5,80.5,30.2,31.2,45.9,8.2,Yes,Yes,45.8
STU0148,19,Female,7.1,79.4,40.5,60.9,69.3,7.1,Yes,No,57.9
STU0149,17,Male,11.3,69.6,35.1,47.9,52.5,8.6,No,No,53.0
STU0150,24,Male,14.8,65.6,43.1,59.0,55.4,5.9,Yes,No,37.7
STU0151,19,Female,12.4,70.4,51.1,41.4,52.8,7.7,No,Yes,48.5
STU0152,19,Female,10.8,74.0,30.4,25.1,49.0,7.3,Yes,Yes,39.8
STU0153,17,Male,6.6,59.5,,64.5,96.9,7.3,No,Yes,52.0
STU0154,19,Female,14.5,68.3,48.0,66.4,85.0,8.7,Yes,Yes,56.8
STU0155,21,Male,6.0,69.3,38.2,51.4,93.8,8.0,No,Yes,46.3
STU0156,18,Male,19.6,81.1,38.4,46.7,46.7,7.4,Yes,No,58.7
STU0157,23,Male,15.5,77.3,42.0,78.0,66.1,4.8,Yes,No,59.8
STU0158,18,Male,6.3,60.8,28.9,37.5,45.6,5.8,Yes,Yes,38.1
STU0159,17,Male,13.1,72.6,57.0,56.0,54.6,6.8,Yes,Yes,61.6
STU0160,20,Male,10.5,64.1,27.9,41.1,51.2,7.1,Yes,Yes,35.9
STU0161,23,Male,16.9,85.7,51.2,55.0,83.6,5.5,No,No,47.7
STU0162,17,Female,23.0,93.6,51.9,63.2,59.1,10.0,No,No,42.7
STU0163,24,Female,3.7,49.4,40.3,49.3,81.0,9.0,Yes,No,42.2
STU0164,20,Female,15.7,69.8,51.3,57.8,74.1,7.8,Yes,No,57.9
STU0165,18,Female,14.0,63.5,67.6,68.6,99.6,7.1,Yes,No,66.3
STU0166,17,Male,19.0,75.7,21.5,51.9,42.8,6.7,Yes,No,45.7
STU0167,24,Male,16.3,77.2,34.8,66.2,83.9,5.8,Yes,Yes,51.3
STU0168,23,Female,10.5,59.9,42.0,49.7,82.2,7.1,Yes,No,55.8
STU0169,23,Male,13.1,67.0,45.3,51.0,50.4,7.3,Yes,Yes,51.5
STU0170,22,Female,10.2,63.2,32.3,44.6,80.1,5.4,Yes,No,50.1
STU0171,24,Male,21.5,85.3,30.8,51.9,70.0,7.4,Yes,Yes,47.9
STU0172,21,Female,15.1,77.2,48.1,61.6,61.6,6.8,Yes,No,57.0
STU0173,19,Male,26.4,83.3,56.0,64.6,52.6,3.9,Yes,No,49.6
STU0174,20,Female,14.6,77.5,31.3,52.5,54.2,5.9,Yes,No,45.3
STU0175,24,Female,10.7,67.5,43.9,56.9,95.7,6.5,No,No,54.6
STU0176,22,Female,5.9,64.3,25.6,44.1,65.0,9.5,Yes,Yes,43.3
STU0177,19,Male,4.2,78.0,36.8,54.8,76.7,7.7,Yes,Yes,50.2
STU0178,19,Female,5.5,76.8,23.1,35.4,53.1,5.3,Yes,Yes,40.2
STU0179,17,Female,16.6,67.9,46.0,46.2,53.3,7.6,Yes,Yes,43.5
STU0180,19,Female,18.1,86.5,,74.0,81.2,5.0,No,No,59.3
STU0181,21,Female,5.5,72.6,17.9,51.7,44.8,8.4,Yes,Yes,40.9
STU0182,23,Female,20.4,73.2,40.0,54.5,58.8,6.4,Yes,No,57.3
STU0183,22,Male,12.1,79.9,39.3,62.3,65.5,6.9,Yes,No,51.9
STU0184,19,Female,15.9,89.8,42.2,49.0,66.7,8.7,No,No,47.0
STU0185,17,Female,24.7,78.2,62.1,67.6,62.3,5.3,No,Yes,52.6
STU0186,21,Female,20.4,75.1,39.0,57.8,70.9,5.2,Yes,No,57.6
STU0187,18,Male,13.4,82.9,47.3,65.2,75.4,,Yes,No,55.0
STU0188,23,Male,9.7,72.8,46.9,56.7,76.0,8.3,Yes,No,57.9
STU0189,23,Female,2.1,66.7,37.5,49.8,50.2,5.0,No,No,33.8
STU0190,22,Female,10.7,74.5,33.8,46.5,60.7,3.3,Yes,No,32.6
STU0191,23,Male,13.7,78.2,52.9,69.8,82.9,6.4,No,Yes,55.2
STU0192,19,Female,9.1,59.4,28.3,53.8,78.4,7.7,Yes,No,43.0
STU0193,17,Male,14.2,84.0,16.4,48.8,44.4,8.6,Yes,Yes,45.3
STU0194,23,Male,15.5,86.4,54.2,61.6,70.3,6.4,Yes,Yes,55.2
STU0195,23,Male,13.7,73.2,31.1,36.8,35.3,6.5,Yes,Yes,46.3
STU0196,18,Male,11.1,71.9,49.6,54.4,65.7,8.5,Yes,Yes,53.6
STU0197,18,Female,16.0,65.4,46.4,68.0,93.5,4.6,Yes,Yes,57.9
STU0198,20,Male,17.7,83.5,46.5,56.5,50.8,6.5,Yes,Yes,58.1
STU0199,21,Female,8.5,73.9,46.5,48.0,52.5,7.2,Yes,No,53.7
STU0200,19,Female,23.5,85.3,63.3,76.0,76.5,7.6,Yes,No,68.8
STU0201,23,Female,14.4,84.8,37.0,55.5,41.9,6.3,Yes,No,44.8
STU0202,24,Female,15.1,74.0,41.2,45.6,55.5,7.0,No,Yes,37.0
STU0203,23,Male,19.2,85.7,41.1,72.8,73.9,3.8,No,Yes,50.0
STU0204,17,Female,16.4,69.9,53.5,44.4,55.5,6.1,No,No,41.6
STU0205,20,Female,20.7,82.6,45.6,65.4,61.5,7.6,No,Yes,56.1
STU0206,21,Male,16.7,77.0,55.4,68.3,76.2,5.7,Yes,Yes,59.7
STU0207,24,Female,11.3,74.3,30.2,44.4,71.3,7.1,Yes,No,52.7
STU0208,20,Female,17.2,75.9,39.6,61.4,69.0,7.6,Yes,Yes,54.8
STU0209,22,Female,8.1,67.9,45.6,45.7,59.9,6.6,Yes,No,47.2
STU0210,21,Female,15.7,83.8,45.0,57.2,70.6,7.2,Yes,No,63.7
STU0211,23,Female,14.8,72.8,55.4,65.3,63.1,5.7,Yes,Yes,58.6
STU0212,23,Male,13.8,62.3,45.3,51.9,71.9,6.7,Yes,Yes,52.8
STU0213,21,Female,14.2,89.6,26.1,51.6,57.5,7.8,Yes,No,48.1
STU0214,23,Female,3.7,75.1,36.7,49.6,62.3,7.2,Yes,No,45.1
STU0215,19,Male,11.7,62.5,30.0,50.3,50.2,6.2,Yes,Yes,39.9
STU0216,21,Male,15.6,82.6,50.8,58.4,64.5,7.3,Yes,No,55.1
STU0217,20,Male,16.0,73.5,,60.3,52.8,7.9,Yes,Yes,57.2
STU0218,21,Female,8.8,71.8,18.0,48.9,48.3,4.3,No,No,31.8
STU0219,24,Female,22.6,87.2,57.1,51.7,68.9,8.5,Yes,No,53.4
STU0220,23,Male,9.8,68.9,57.1,50.3,68.2,6.6,Yes,Yes,63.3
STU0221,19,Female,20.8,76.6,60.7,62.8,76.7,7.6,No,Yes,61.6
STU0222,19,Male,17.6,73.8,44.9,59.1,58.5,8.6,No,Yes,42.5
STU0223,22,Female,11.1,64.9,51.0,36.8,71.1,5.2,No,Yes,41.4
STU0224,20,Female,25.7,81.6,63.1,87.2,73.3,5.5,Yes,Yes,69.5
STU0225,18,Female,7.8,68.1,40.1,57.9,71.7,6.6,Yes,No,59.7
STU0226,18,Male,20.5,76.8,38.0,56.8,52.6,6.0,Yes,Yes,46.6
STU0227,21,Male,21.0,88.6,55.0,73.8,67.2,9.3,Yes,No,67.4
STU0228,22,Male,11.0,84.0,50.2,76.0,70.5,5.9,Yes,No,66.4
STU0229,17,Male,23.4,81.0,48.5,70.3,65.1,6.3,Yes,No,56.9
STU0230,21,Female,13.5,76.8,,49.4,33.7,7.3,Yes,No,45.0
STU0231,22,Female,16.7,82.4,47.1,62.3,67.4,5.4,Yes,Yes,52.3
STU0232,20,Female,16.6,82.0,52.9,74.0,98.2,6.5,Yes,No,66.0
STU0233,20,Female,14.2,76.2,49.6,51.4,59.6,7.4,Yes,No,53.6
STU0234,20,Female,19.9,87.8,44.2,52.9,54.1,6.6,Yes,Yes,59.2
STU0235,20,Female,19.8,85.6,59.0,60.7,70.6,6.9,Yes,Yes,69.1
STU0236,20,Female,4.5,,31.2,38.5,69.7,6.3,Yes,No,37.5
STU0237,22,Female,22.8,92.1,61.2,74.1,82.9,5.0,No,Yes,53.7
STU0238,22,Male,5.0,72.6,28.7,30.3,46.1,7.4,Yes,Yes,41.1
STU0239,19,Male,21.2,77.2,59.2,68.1,76.0,9.3,Yes,Yes,64.7
STU0240,24,Male,21.8,84.2,40.8,67.6,73.9,7.0,Yes,Yes,63.8
STU0241,18,Female,8.5,74.8,26.7,53.3,62.9,7.3,No,No,41.7
STU0242,23,Female,12.5,72.1,51.1,53.7,70.1,7.9,Yes,No,55.6
STU0243,20,Male,8.4,77.8,41.6,82.4,80.4,5.3,Yes,No,65.9
STU0244,17,Female,13.7,,44.2,76.7,78.1,9.2,Yes,Yes,65.9
STU0245,23,Female,13.2,68.2,24.7,38.1,47.9,7.3,Yes,Yes,41.3
STU0246,22,Male,19.7,70.6,46.9,66.4,77.3,9.1,No,No,50.2
STU0247,17,Male,22.9,,38.0,60.7,64.0,6.0,Yes,Yes,57.3
STU0248,17,Female,23.4,91.5,54.8,60.1,66.1,9.4,Yes,Yes,70.2
STU0249,17,Female,11.6,70.9,36.2,45.4,66.1,8.0,No,No,42.9
STU0250,19,Female,13.7,86.7,34.5,61.5,62.7,7.7,No,Yes,51.6
STU0251,22,Female,4.9,54.7,38.7,49.3,82.9,7.3,Yes,No,46.6
STU0252,17,Female,10.2,76.7,41.1,61.0,63.7,6.7,No,Yes,54.8
STU0253,20,Female,20.8,78.0,62.0,61.1,48.2,8.6,Yes,Yes,67.8
STU0254,21,Female,24.7,100.0,42.4,76.6,59.1,7.2,Yes,Yes,68.1
STU0255,17,Female,7.6,84.3,45.8,50.3,67.7,4.4,Yes,No,50.4
STU0256,19,Male,11.4,66.5,55.5,64.6,83.4,5.5,Yes,No,57.1
STU0257,23,Male,14.8,71.9,41.9,65.0,74.0,6.8,Yes,No,44.3
STU0258,22,Male,16.7,85.2,43.4,51.9,52.2,7.4,No,No,52.3
STU0259,24,Female,10.1,68.1,49.0,63.0,100.0,6.9,No,Yes,57.9
STU0260,19,Female,17.5,78.9,51.0,73.0,69.0,8.6,Yes,No,62.3
STU0261,17,Female,12.2,73.6,60.9,65.4,84.1,4.5,No,No,49.7
STU0262,22,Male,14.9,61.0,48.6,57.3,62.7,7.2,Yes,No,50.3
STU0263,21,Male,18.3,80.0,56.1,58.5,73.0,4.6,Yes,Yes,56.2
STU0264,17,Male,15.0,71.0,46.4,53.5,77.6,8.0,Yes,No,60.8
STU0265,19,Male,12.4,69.7,36.9,58.6,83.3,6.9,Yes,Yes,54.5
STU0266,18,Female,14.3,87.3,48.6,66.3,80.9,7.5,Yes,Yes,75.1
STU0267,20,Male,14.5,65.9,,53.2,78.1,5.9,No,No,52.6
STU0268,24,Male,12.8,80.6,27.9,55.2,60.3,8.7,Yes,No,42.8
STU0269,23,Female,13.4,72.6,30.9,40.1,56.4,8.4,Yes,Yes,45.9
STU0270,19,Male,24.6,84.8,59.7,60.2,70.0,7.8,Yes,Yes,62.0
STU0271,22,Male,18.4,86.5,46.7,73.4,79.0,6.8,Yes,No,52.7
STU0272,24,Female,13.2,77.3,34.9,59.6,61.7,7.8,No,No,55.6
STU0273,24,Male,19.2,85.7,53.0,67.1,81.0,6.1,Yes,No,66.5
STU0274,24,Female,13.0,82.0,40.0,60.6,86.8,8.1,Yes,No,61.9
STU0275,17,Female,22.0,81.6,40.3,50.0,51.3,,Yes,No,51.5
STU0276,20,Female,17.2,74.0,48.1,50.3,52.4,8.4,Yes,Yes,45.5
STU0277,17,Male,14.4,67.1,32.6,58.6,62.9,6.1,Yes,No,46.2
STU0278,22,Female,17.7,72.9,37.2,67.1,69.6,7.5,Yes,Yes,62.4
STU0279,17,Male,5.6,89.7,24.8,48.1,57.1,5.3,Yes,Yes,41.3
STU0280,18,Male,8.2,79.0,50.3,55.2,85.3,7.7,Yes,No,46.0
STU0281,20,Male,7.8,57.8,36.8,53.3,71.4,7.6,No,Yes,44.0
STU0282,20,Female,15.9,66.9,42.3,50.4,65.6,4.6,Yes,No,46.9
STU0283,22,Male,25.4,91.8,49.5,54.7,43.5,4.9,Yes,No,54.0
STU0284,23,Male,28.4,95.6,39.6,71.3,45.3,6.0,No,No,56.9
STU0285,18,Female,18.8,85.1,55.2,70.0,69.2,6.6,Yes,No,65.5
STU0286,19,Male,18.0,77.8,38.8,46.7,33.0,5.4,No,No,39.9
STU0287,17,Male,4.2,63.6,34.0,45.7,80.2,7.5,Yes,No,54.7
STU0288,21,Male,11.7,75.5,47.8,55.9,62.6,7.3,Yes,No,46.4
STU0289,17,Male,10.3,72.0,43.8,76.9,100.0,6.7,Yes,Yes,67.0
STU0290,24,Male,11.3,54.6,63.0,62.9,99.6,6.0,Yes,No,62.8
STU0291,17,Male,14.0,73.6,43.6,64.6,62.3,8.4,Yes,Yes,49.3
STU0292,19,Female,12.2,66.6,37.9,61.8,63.4,9.2,Yes,No,42.0
STU0293,17,Male,3.1,64.8,35.7,65.8,79.9,6.4,Yes,No,47.6
STU0294,18,Male,19.5,100.0,59.7,80.1,90.5,6.2,Yes,No,68.7
STU0295,18,Female,8.6,72.4,36.6,45.7,40.4,7.6,Yes,Yes,49.2
STU0296,20,Male,16.4,75.6,27.2,56.3,38.2,6.5,No,Yes,38.5
STU0297,22,Female,27.4,97.6,50.5,69.7,55.7,6.2,No,No,53.3
STU0298,23,Male,9.5,74.3,49.6,54.2,73.7,8.0,No,Yes,48.5
STU0299,21,Male,0.0,63.4,24.2,45.3,72.5,4.5,Yes,Yes,46.7
STU0300,24,Male,13.3,79.5,56.2,66.3,81.0,8.7,Yes,Yes,62.7
STU0301,17,Male,21.6,100.0,59.4,50.6,47.0,7.1,Yes,No,58.3
STU0302,17,Male,26.8,80.4,,49.4,30.3,5.9,Yes,No,47.2
STU0303,19,Male,7.6,72.2,46.1,65.5,77.9,6.9,Yes,Yes,64.3
STU0304,22,Male,18.0,72.4,34.3,37.7,52.6,7.0,Yes,Yes,43.8
STU0305,18,Male,12.2,77.9,35.2,53.5,34.7,4.7,Yes,Yes,50.3
STU0306,21,Male,14.4,68.5,46.4,64.2,67.2,8.9,Yes,No,54.7
STU0307,20,Male,30.9,90.6,73.1,73.3,76.9,6.5,Yes,No,71.1
STU0308,18,Male,6.0,64.2,27.6,52.0,63.2,7.6,Yes,Yes,59.8
STU0309,24,Male,16.5,86.0,30.6,58.0,58.1,8.2,Yes,Yes,48.8
STU0310,22,Female,17.8,86.9,51.3,69.6,62.6,5.7,No,Yes,53.5
STU0311,24,Male,21.5,73.7,34.2,65.5,59.4,7.6,Yes,No,48.6
STU0312,23,Female,15.6,77.6,34.9,39.5,44.8,6.7,Yes,No,49.7
